frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas
219,144480,32743.0,111325792,9797202,32715623,2954254,39984103,144480,53725,6752129,9950911,1568728,53292,782065,2600640
220,144480,32756.6,111372066,9810088,32707138,2949729,39919536,144480,53654,6826600,9932477,1563374,53371,783139,2600640
221,144480,32610.4,110875632,9770614,32542536,2994492,39600659,144480,53486,6755940,9841248,1541213,53403,783218,2600640
222,144480,32682.9,111121248,9893898,32706717,2964045,39650130,144480,53732,6738691,10043466,1543610,53454,784224,2600640
223,144480,32587.1,110795868,9736614,32807547,2939967,39519077,144480,53728,6862262,9881769,1574498,53455,784020,2600640
224,144480,32544.3,110650314,9832562,32570074,2956531,39592024,144480,53745,6722506,9867642,1555940,53479,784544,2600640
225,144480,37035.1,125919102,10014734,34707331,4178230,48922483,144480,53681,7022352,10707087,1656545,53495,784698,2600640
226,144480,37301.1,126823374,10065734,34958058,4171314,49427293,144480,53716,7019415,10841692,1725014,53529,785281,2600640
227,144480,37683.2,128122528,10049040,35607839,4244864,49551002,144480,53367,7201250,10943777,1843212,53569,785844,2600640
228,144480,37260.3,126684821,9938302,34883798,4229246,49434725,144480,53740,7037410,10786675,1690342,53609,786477,2600640
229,144480,32640.9,110978958,9812468,32731652,2926216,39722487,144480,53819,6743168,10062731,1549872,53578,786259,2600640
230,144480,34001.7,115605678,10106024,34181148,3199837,41234219,144480,53620,6936321,10648310,1601893,53620,787194,2600640
231,144480,32905.5,111878223,9862720,33018683,3012865,39902149,144480,53682,6848001,10202213,1552373,53643,787055,2600640
232,144480,37285.5,126770108,10162498,35021899,4228988,49052730,144480,53929,7095690,10820738,1752123,53701,788229,2600640
233,144480,33677.7,114504214,9858708,33096080,3198509,41746824,144480,54033,6800905,10131661,1579024,53761,789404,2600640
234,144480,32737.2,111306242,9821648,32704948,2990892,39787845,144480,53572,6809328,9940518,1545397,53772,790213,2600640
235,144480,32683.1,111122404,9791524,32876514,2945926,39660740,144480,53886,6739337,10043470,1552939,53823,790684,2600640
236,144480,32670.8,111080414,9767996,32697356,2982726,39654832,144480,53754,6766668,9975699,1547625,53813,790709,2600640
237,144480,32783.3,111462880,9930720,32898677,2951044,39821881,144480,53841,6876830,10002637,1576567,53827,791049,2600640
238,144480,32850.4,111690578,9991580,32796178,2971923,40031593,144480,53526,6757631,10033990,1576114,53845,791301,2600640
239,144480,37149.7,126308308,9953806,34400798,4278996,49497937,144480,53835,6892433,10568697,1634500,53871,791544,2600640
240,144480,32717.8,111240078,9823450,32786308,2946586,39821988,144480,53569,6735465,10111083,1574198,53897,792021,2600640
241,144480,32886.3,111812774,9951834,32930671,3038463,39905186,144480,53966,6874642,10040942,1549595,53959,792466,2600640
242,144480,34827.0,118411256,10444528,34816378,3269499,42404391,144480,53809,7177320,10835043,1626451,53980,792995,2600640
243,144480,54834.8,186435090,15431444,58196732,5776176,66205262,144480,53686,10761805,21896598,2039856,53978,793474,2600640
244,144480,39501.4,134303605,11249240,38875875,4198728,49460347,144480,53497,7772153,12819088,1830138,54000,793437,2600640
245,144480,36232.0,123188426,9860374,33928628,3972219,47800794,144480,53708,6900156,10363793,1595032,54026,794348,2600640
246,144480,32739.3,111312804,9961388,32786034,2951659,39635760,144480,53761,6817883,9983298,1549249,54038,794576,2600640
247,144480,37791.9,128492432,10156310,35666595,4193275,49598617,144480,53654,7242081,11231896,1708193,54049,794484,2600640
248,144480,33160.7,112746754,9929802,33092441,3137744,40414707,144480,53792,6812449,10164150,1567896,54077,794761,2600640
249,144480,54137.1,184066213,14396039,56665042,6590172,66572029,144480,53523,12976778,18018350,4381607,54089,795037,2600640
250,144480,37629.4,127939654,10262696,36287577,4077003,48931253,144480,53642,7426249,11463559,1832389,54062,794904,2600640
251,144480,32899.0,111856056,9825388,33055472,3077198,39838785,144480,53799,6913470,10150122,1583565,54076,795470,2600640
252,144480,32700.9,111182924,9816208,32652642,2968843,39806419,144480,53963,6732508,9949910,1545242,54096,795778,2600640
253,144480,32973.6,112109832,9862686,33079212,2971156,40142479,144480,53860,6818743,10007801,1565969,54112,796122,2600640
254,144480,36865.7,125343312,9837118,34289701,4181066,49078699,144480,53329,6981583,10443691,1595965,54207,797005,2600640
255,144480,34865.8,118542298,10447492,34815201,3313667,42420689,144480,53774,7057441,10845236,1735964,54221,796882,2600640
256,144480,39209.5,133312034,10575088,39406554,4088825,49903235,144480,53846,8262672,12679656,1984213,54259,797421,2600640
257,144480,33245.5,113034496,9833684,33544337,3135176,40342864,144480,53716,6805038,10141106,1616291,54269,797962,2600640
258,144480,36127.4,122832922,9808422,33789619,4030930,47717860,144480,53860,6761773,10342287,1597188,54282,798339,2600640
259,144480,37161.9,126350024,9923070,34770299,4160691,49323620,144480,53967,6950374,10796349,1665154,54314,798553,2600640
260,144480,32793.2,111496676,9954078,32714253,2992356,39681638,144480,53643,6741430,9980016,1546121,54348,798526,2600640
261,144480,33064.1,112417634,9922390,32984454,3024208,40269962,144480,53463,6853103,10075696,1537878,54349,799219,2600640
262,144480,33143.0,112686098,10084366,33207737,3007152,40206367,144480,53806,6863959,10190459,1566525,54385,799375,2600640
263,144480,37200.1,126480176,9878836,35147100,4153895,49305639,144480,53924,6950524,10760559,1693969,54362,799447,2600640
264,144480,32992.8,112174704,10104596,32883953,2995327,40046265,144480,53445,6780256,10053573,1548068,54360,799328,2600640
265,144480,32776.3,111439012,9816174,32929712,2969438,39790802,144480,54071,6741812,10077180,1554813,54396,799840,2600640
266,144480,33096.7,112528100,9912428,33255402,3003553,40148841,144480,53777,6832146,10248804,1556640,54412,800122,2600640
267,144480,32773.1,111428438,9846570,32806249,2964391,39892695,144480,53865,6807011,9983326,1577330,54386,800120,2600640
268,144480,32873.0,111767520,9972370,32893904,3023561,39910363,144480,53511,6784366,10096028,1547252,54406,800752,2600640
269,144480,32944.2,112009770,10025784,32896675,3013196,39988000,144480,53640,6793067,10040294,1597989,54444,800838,2600640
270,144480,37112.6,126183112,9923172,34765368,4144591,49153490,144480,53796,7080931,10736993,1650618,54457,801235,2600640
271,144480,34146.0,116096332,10260146,34356562,3086129,41626869,144480,53608,7215851,10572703,1678697,54473,801177,2600640
272,144480,32910.9,111896448,9854220,32817454,3053772,40154456,144480,53722,6845598,9990365,1551452,54490,801437,2600640
273,144480,32831.0,111625094,9848644,32928915,2966547,39908526,144480,53567,6835588,9944921,1541187,54513,801564,2600640
274,144480,32889.4,111823242,9971010,32950204,2999591,39841426,144480,53787,6792529,10141280,1548323,54536,802073,2600640
275,144480,32669.4,111075824,9786832,32706368,2975670,39745061,144480,53747,6719500,10061499,1537002,54562,802581,2600640
276,144480,32962.2,112071174,9902160,33021882,2980567,40063783,144480,53638,6813557,10016808,1567290,54542,802482,2600640
277,144480,36813.5,125165478,9984392,34144459,4162439,48793861,144480,53752,6899398,10437745,1619070,54589,802592,2600640
278,144480,32727.1,111272038,9867752,32825078,2941114,39715069,144480,53783,6766365,9956665,1656428,54620,803206,2600640
279,144480,32811.5,111558828,9939016,32714315,2970472,39827549,144480,53554,6760029,9964821,1545952,54653,804137,2600640
280,144480,32775.2,111435102,9844088,32820687,2960379,39842132,144480,53761,6800372,9965092,1546259,54687,804813,2600640
281,144480,32491.5,110470930,9751812,32618564,2952569,39407960,144480,53792,6696282,9941507,1537239,54735,805632,2600640
282,144480,32609.9,110873286,9782514,32701264,2962522,39471229,144480,53739,6733780,9915749,1537408,54767,806076,2600640
283,144480,32815.2,111571374,9826850,33093486,3009367,39733265,144480,53924,6804507,10088826,1567683,54793,806560,2600640
284,144480,37009.1,125830906,10115272,34541782,4092629,48702044,144480,53781,6984996,10635223,1655334,54818,806624,2600640
285,144480,32680.8,111114142,9834330,32712796,2966220,39652788,144480,53467,6749022,9987672,1536828,54811,806594,2600640
286,144480,34358.8,116819036,10276636,34221168,3195159,41947783,144480,53731,7009043,10578625,1601266,54841,807356,2600640
287,144480,32708.2,111207880,10025444,32848368,2934726,39595009,144480,54048,6764033,10073306,1566799,54862,807438,2600640
288,144480,32910.9,111896788,9895122,33169072,2981012,39816057,144480,53674,6954913,10071989,1541299,54906,808144,2600640
289,144480,32679.3,111109314,9935718,32598555,2955479,39635870,144480,53649,6739967,9925399,1552287,54915,808678,2600640
290,144480,32853.3,111700914,9832086,32972438,2967621,39789019,144480,53673,6821993,10015347,1542919,54949,808530,2600640
291,144480,36453.4,123941492,9942246,34295485,3997953,47933973,144480,53576,6979232,10430367,1627303,54996,809338,2600640
292,144480,32961.8,112069644,9909198,32959714,2970864,40074195,144480,53585,6814625,10031365,1545828,55015,809467,2600640
293,144480,33365.1,113440864,9990730,33489695,3014625,40541530,144480,53760,6913248,10134648,1573072,55065,810400,2600640
294,144480,32617.9,110900894,9794040,32915564,2919656,39511063,144480,53612,6905442,9878342,1534803,55079,810507,2600640
295,144480,32736.2,111302808,9904336,32705242,2949702,39843209,144480,53708,6771948,9963228,1546591,55061,810305,2600640
296,144480,32674.4,111092586,9923002,32631275,2948590,39604809,144480,53695,6787775,9878408,1545744,55085,810645,2600640
297,144480,33004.3,112214252,9903792,32940540,3005885,40073057,144480,53690,6763996,10129646,1543996,55134,811635,2600640
298,144480,32853.2,111700410,9868500,32903969,3083897,39799725,144480,53812,6807675,10020693,1546662,55193,812032,2600640
299,144480,32739.6,111314368,9810734,32922749,2949452,39614466,144480,53805,6894797,10015357,1548165,55193,812267,2600640
300,144480,32757.7,111375602,9836268,32809649,2962327,39667275,144480,53597,6794128,9951791,1547646,55172,812278,2600640
301,144480,32759.3,111381212,9804512,32853365,2960951,39823809,144480,53746,6834431,10069784,1546743,55209,812396,2600640
302,144480,32636.1,110962066,9899372,32630286,2972667,39606750,144480,53827,6740522,9926470,1543554,55258,813139,2600640
303,144480,32461.5,110368692,9974274,32444649,2931278,39255525,144480,53721,6714501,9887162,1539792,55286,813713,2600640
304,144480,32648.6,111004696,9974818,32692294,2948553,39504310,144480,53634,6788135,9939081,1548803,55306,813510,2600640
305,144480,32878.8,111787410,9931570,32956934,2950107,39914586,144480,53541,6773153,9999211,1566679,55342,814455,2600640
306,144480,37037.5,125927212,9952752,34532830,4139324,49120078,144480,53804,6948425,10603327,1660935,55370,814633,2600640
307,144480,37023.2,125878506,10041866,34399039,4138485,49136336,144480,53573,6860412,10615006,1620299,55428,815243,2600640
308,144480,34541.8,117441814,10354462,34374057,3415814,41967263,144480,53510,7006308,10606704,1596164,55460,815754,2600640
309,144480,32715.2,111231510,9819642,32992968,2933010,39441072,144480,53917,6816281,10175888,1563857,55469,816105,2600640
310,144480,32664.3,111058246,9800500,32609869,2943201,39801468,144480,53680,6780050,9889187,1539359,55529,817247,2600640
311,144480,32882.8,111801214,9904132,32810281,2963402,39830300,144480,53721,6781806,10014924,1536830,55553,817624,2600640
312,144480,48238.3,164006291,13380618,52376361,4847695,59174207,144480,53784,11985535,16996784,3078758,55577,817867,2600640
313,144480,54958.1,186853647,15663596,59279911,6005289,65507337,144480,53290,11796804,22010031,2262821,55609,818166,2600640
314,144480,53486.3,181850121,15075702,57258943,5799254,64138827,144480,53695,11443677,20729764,2808422,55633,818744,2600640
315,144480,34381.2,116895536,10338380,34526175,3238307,41443812,144480,53675,7097997,10736358,1670398,55621,819015,2600640
316,144480,36502.2,124107344,9945510,34222104,3996275,48138582,144480,53885,6951924,10520618,1614666,55608,819008,2600640
317,144480,40778.8,138647716,10900944,38751939,4666891,53524475,144480,53686,8172358,12177761,1947045,55639,819370,2600640
318,144480,36008.1,122427268,9944014,34294156,3878550,46762847,144480,53798,6959556,10538350,1659127,55706,820105,2600640
319,144480,33129.0,112637954,9970908,33186268,2998172,40196666,144480,53381,6895831,10187088,1539001,55764,821275,2600640
320,144480,33065.4,112422224,10068182,33057068,2995906,40116724,144480,53746,6845462,10116546,1559030,55785,821156,2600640
321,144480,32941.8,112001304,9874042,33090338,2984107,39779246,144480,53788,6831935,10196520,1548898,55789,821713,2600640
322,144480,32887.2,111815970,9891994,32834680,2984814,40066827,144480,53464,6833510,9911196,1542847,55820,821718,2600640
323,144480,32979.2,112128800,9915420,33058345,2957569,39984123,144480,53367,7044200,10023452,1536383,55879,822244,2600640
324,144480,33632.3,114349578,10148524,33683885,3061882,40609960,144480,53840,6954819,10288661,1593854,55900,822640,2600640
325,144480,57300.8,194818670,15002122,65140843,6177322,69309009,144480,53666,15134195,22467610,3743221,55927,823133,2600640
326,144480,50143.3,170487260,13952070,52624061,5535683,59402966,144480,53962,9523174,20214704,2054198,55930,823429,2600640
327,144480,33938.0,115389812,9748412,34230307,3359349,41578561,144480,53667,6927079,10709497,1750255,55948,823568,2600640
328,144480,32841.9,111662052,9798290,32906679,2959093,39761791,144480,53803,6768686,10185687,1540038,56004,824912,2600640
329,144480,39134.2,133056041,10397914,37296718,4328329,51351446,144480,53668,7747434,11712741,1869555,56019,824578,2600640
330,144480,34061.5,115808590,10147232,34161039,3177280,41189730,144480,53463,7039521,10553696,1578007,56050,825206,2600640
331,144480,37949.0,129026516,10171406,35626166,4229342,50009076,144480,53843,7195296,11083794,1744706,56114,825941,2600640
332,144480,36032.4,122509582,10362758,35316297,3655634,44998485,144480,53857,7474139,10906702,1654757,56134,826492,2600640
333,144480,33518.6,113963444,9996034,33608613,3026702,40517757,144480,53772,6920791,10406137,1597458,56185,827340,2600640
334,144480,32938.9,111992430,9877408,32965221,2989165,39931270,144480,53682,6871357,10032763,1549653,56201,827529,2600640
335,144480,32713.5,111225764,9830182,32732400,2977987,39730590,144480,53655,6789173,9996756,1534806,56177,826922,2600640
336,144480,32828.0,111614860,9898046,32801479,2966577,39954588,144480,53665,6823562,9973117,1546125,56216,827411,2600640
337,144480,32837.2,111646072,9829502,32905165,2974222,39778285,144480,53722,6832348,10061453,1545580,56235,827636,2600640
338,144480,33140.1,112676068,10091166,33126989,3019005,40183641,144480,53901,6833198,10132017,1560162,56285,828300,2600640
339,144480,32773.3,111428778,9892538,32754130,3155227,39643650,144480,53761,6797787,9993465,1541935,56275,828800,2600640
340,144480,37577.1,127761939,10084536,35534235,4126393,49493864,144480,53920,7020881,11355445,1723688,56328,830021,2600640
341,144480,32887.3,111816140,10046694,32822777,2972403,39768274,144480,53612,6838201,9969354,1563096,56349,830372,2600640
342,144480,32590.1,110806714,10016604,32597742,2946269,39405013,144480,53532,6738327,9892568,1537796,56372,830762,2600640
343,144480,32797.1,111509460,9825762,32895817,2952314,39820157,144480,53615,6826899,10027299,1539605,56425,831840,2600640
344,144480,32694.4,111160926,9886146,32780632,2956640,39601139,144480,53809,6737895,10055898,1559875,56423,831646,2600640
345,144480,32775.5,111437244,9891722,32759135,2946592,39766080,144480,53814,6808221,9934776,1547241,56433,832103,2600640
346,144480,32949.8,112028810,9913890,32922804,3126581,39757158,144480,53579,6835829,10058398,1549719,56433,831593,2600640
347,144480,32671.3,111082182,9824810,32730047,2993550,39612780,144480,53619,6790135,9850557,1534440,56448,832061,2600640
348,144480,32819.6,111586572,9859626,32958538,2974436,39711141,144480,53523,6839811,9971983,1548676,56471,832038,2600640
349,144480,34081.7,115877066,10179056,34095794,3140364,41461708,144480,53701,7111593,10493201,1584207,56520,832640,2600640
350,144480,36963.4,125675294,10050944,35371443,3943404,48198633,144480,53867,7057049,11054698,1773269,56550,833230,2600640
351,144480,34176.1,116198366,10138970,34184028,3087370,41902397,144480,53841,7099571,10528976,1660454,56582,833729,2600640
352,144480,32815.0,111570626,9930278,32669696,3006156,39700535,144480,53715,6800312,9915435,1553411,56621,834189,2600640
353,144480,32972.3,112105548,10035984,32891879,2986897,39820548,144480,53720,6811221,10040953,1546524,56604,834596,2600640
354,144480,36219.1,123144328,10031156,34506087,3882020,46743651,144480,53614,7137379,10528942,1654376,56582,834743,2600640
355,144480,33270.6,113119836,10127988,33247254,2965590,40321855,144480,53878,6900996,10140642,1571102,56640,835938,2600640
356,144480,32674.0,111091940,9818112,32800388,2976818,39593809,144480,53904,6765299,10023131,1578903,56658,835784,2600640
357,144480,32645.2,110993816,9863808,32654585,2936117,39503966,144480,53876,6736638,9935239,1543929,56674,836239,2600640
358,144480,52923.6,179940685,14701294,56888520,5865229,64859792,144480,53469,13692041,19189596,2652248,56689,836488,2600640
359,144480,33713.8,114626750,10034420,33557987,3321765,41150672,144480,53621,6871527,10423023,1612137,56669,836592,2600640
360,144480,33082.9,112481486,9944422,33422904,2971587,39838421,144480,53635,6861616,10262600,1558984,56688,837010,2600640
361,144480,32846.8,111678406,9901276,32935408,2949958,39826568,144480,54011,6861900,10071539,1543161,56699,837221,2600640
362,144480,32961.2,112067364,9950032,33096696,2970784,39778746,144480,53499,6843002,10086320,1561765,56740,837081,2600640
363,144480,32845.8,111675176,9983284,32892854,2991867,39738630,144480,53621,6792898,9979366,1544298,56766,837121,2600640
364,144480,32561.1,110707434,9932182,32572752,2932302,39347926,144480,53385,6826570,9813826,1530286,56787,837507,2600640
365,144480,33049.2,112366838,10085454,33113794,2996470,39898336,144480,53577,6815662,10105741,1546179,56790,837853,2600640
366,144480,32848.2,111683574,9847386,33073347,2967884,39747177,144480,53718,6752283,10066695,1750489,56821,837962,2600640
367,144480,33334.9,113338388,9998482,33420558,3031329,40383784,144480,53667,6886872,10386125,1559863,56866,838911,2600640
368,144480,32692.2,111153106,9857008,32852611,2940114,39421373,144480,53967,6766854,10071686,1542911,56865,838914,2600640
369,144480,36486.9,124055327,9920724,34403296,3958574,47793487,144480,53969,6833510,10773154,1613549,56898,838848,2600640
370,144480,32889.9,111825592,10045096,32782905,2954063,39861648,144480,53695,6736531,10026326,1551347,56890,839255,2600640
371,144480,33444.6,113711232,10085182,33464581,3088842,40416383,144480,53625,6876014,10298608,1559936,56961,840088,2600640
372,144480,32701.7,111185338,9830556,32781753,2940062,39601152,144480,53409,6782531,10018873,1524805,56949,839796,2600640
373,144480,32653.7,111022478,10013442,32810485,2913974,39337761,144480,53899,6853134,9945713,1567805,56973,840285,2600640
374,144480,37429.5,127260200,10095960,35020454,4075837,49483391,144480,53488,7021290,10746976,1752967,56983,840846,2600640
375,144480,37469.1,127394608,10169536,35056298,4137881,49341942,144480,53692,7074127,10795471,1690053,57008,841035,2600640
376,144480,33796.0,114906672,10194968,34683435,2998638,40390456,144480,53704,7102728,11250588,1580895,57020,841050,2600640
377,144480,32690.8,111148618,9820662,32798799,2940216,39497174,144480,53345,6847114,9981630,1528154,57046,841658,2600640
378,144480,32829.9,111621014,9882644,32887202,2959083,39633536,144480,53650,6754755,9962522,1589100,57066,841679,2600640
379,144480,32810.8,111556244,9871628,32968697,3134515,39510222,144480,53872,6782233,9999033,1567082,57070,841750,2600640
380,144480,32671.8,111083848,9813726,32801355,2945587,39549893,144480,53758,6831420,10005556,1543676,57087,842129,2600640
381,144480,33073.5,112449764,10065700,33244518,3002002,39892318,144480,53672,6944780,10187716,1546176,57127,842688,2600640
382,144480,32726.7,111270440,9915930,32757997,2948369,39517384,144480,53420,6767751,9865347,1536503,57132,842645,2600640
383,144480,32880.8,111794584,9889614,32799545,2968404,39920100,144480,53517,6803610,9947708,1540302,57163,843331,2600640
384,144480,32787.5,111477364,9999264,32816615,2963445,39690146,144480,53650,6751917,9952859,1657046,57188,843942,2600640
385,144480,32738.3,111309778,9878700,32766598,2960347,39592746,144480,53604,6727600,9922742,1561518,57198,844120,2600640
386,144480,32674.8,111094082,9848032,32640602,2950320,39701936,144480,53450,6786043,9882882,1537960,57189,844427,2600640
387,144480,32809.1,111550770,9928034,32894051,2979315,39652422,144480,53670,6808061,9956215,1543168,57213,844605,2600640
388,144480,32823.3,111599016,9891484,32966024,2943151,39765804,144480,53710,6782943,10113152,1544841,57202,844387,2600640
389,144480,32725.3,111266292,9895190,32853409,2967907,39489126,144480,53690,6869270,9954793,1545788,57250,845225,2600640
390,144480,32770.1,111417966,9901956,32813349,2945803,39585769,144480,53999,6773645,9988204,1550845,57260,845274,2600640
391,144480,32727.1,111272004,9883120,32869850,2953887,39455958,144480,53668,6741611,10031940,1543639,57267,845548,2600640
392,144480,32688.9,111141988,9991002,32757101,2932634,39417443,144480,53645,6729980,9917497,1538909,57236,845307,2600640
393,144480,33023.0,112277792,10084672,33048873,3094195,39803812,144480,53573,6832103,10142071,1534078,57248,845269,2600640
394,144480,32838.6,111651206,9889818,33000220,2957619,39737606,144480,53814,6816571,10076057,1568403,57280,845775,2600640
395,144480,33240.9,113019000,9998652,33155455,3033740,40413848,144480,53454,6897762,10057307,1551679,57323,846451,2600640
396,144480,37840.4,128657569,10459114,35952626,4024891,49455361,144480,53734,7232906,11138235,1773865,57345,846571,2600640
397,144480,32829.9,111621490,9959654,32877198,3011548,39642108,144480,53798,6743512,10032557,1585937,57331,846924,2600640
398,144480,33414.7,113609980,10126252,33371242,3009582,40426835,144480,53662,6854128,10149587,1571356,57349,847280,2600640
399,144480,32648.0,111003030,9960776,32636825,3050150,39359724,144480,53435,6775364,9903850,1532015,57350,847420,2600640
400,144480,36904.5,125474742,9856158,34403763,4237564,48750621,144480,53742,6754781,10553976,1651561,57388,847322,2600640
401,144480,32658.0,111037472,9856770,32661645,2935824,39547154,144480,53798,6712011,9942529,1549458,57402,847438,2600640
402,144480,32762.0,111389984,10037378,32746373,2953782,39577307,144480,53680,6748227,9958558,1542176,57426,848191,2600640
403,144480,32929.7,111960675,9947858,33248778,2943806,39669327,144480,53777,6933245,10168163,1589628,57429,847916,2600640
404,144480,33800.6,114921936,10064272,34107799,3198500,40836366,144480,53539,6975374,10600861,1664417,57441,848198,2600640
405,144480,32608.5,110868662,9871118,32729141,2929282,39388067,144480,53611,6841860,9876117,1532515,57425,848011,2600640
406,144480,33055.0,112386454,10167360,33004533,2993139,39742259,144480,53504,6822839,10097026,1545054,57450,848675,2600640
407,144480,32765.6,111402870,9932590,32750813,2949945,39672389,144480,53685,6727462,9966794,1563352,57486,848990,2600640
408,144480,32835.4,111639918,9875096,32920372,2963538,39572677,144480,53860,6746487,10051407,1555460,57493,849289,2600640
409,144480,32985.7,112151040,9975770,33188344,2959489,39724862,144480,53961,6820471,10212601,1598138,57495,848800,2600640
410,144480,36574.1,124348132,10690042,37855496,3298012,44230493,144480,53840,7738532,12394297,1840621,57518,849102,2600640
411,144480,55552.3,188875236,15430288,58753226,6087584,66098781,144480,53973,10411147,22867735,2143200,57575,849885,2600640
412,144480,38718.1,131641302,10641184,37169596,4192728,50166729,144480,53822,7549152,11625263,1977880,57578,849483,2600640
413,144480,33024.5,112283030,10005656,33179442,2992358,39815600,144480,53693,6773428,9997850,1548555,57581,849736,2600640
414,144480,33046.6,112357794,9927864,33241263,3005531,39914503,144480,53729,6865576,10099173,1546311,57579,849757,2600640
415,144480,32886.7,111814472,10075662,33059863,2964102,39554405,144480,53619,6862928,10047817,1539956,57640,850913,2600640
416,144480,37467.3,127388590,10232470,35179505,4105597,49196231,144480,53693,7203028,10843605,1689971,57660,851508,2600640
417,144480,37300.3,126820750,10047204,35000815,4131767,49135437,144480,53673,6995728,10736479,1784807,57660,851739,2600640
418,144480,32786.2,111473012,9880468,32971083,2963422,39577771,144480,53851,6794041,10017606,1573108,57667,851735,2600640
419,144480,36230.6,123183360,10016259,34354269,3860614,46928079,144480,53689,6968308,10600445,1648578,57687,851457,2600640
420,144480,32885.6,111810564,9922458,32864816,3012602,39830889,144480,53826,6762520,10038732,1551771,57739,852463,2600640
421,144480,37104.4,126155014,10015244,34576611,4087346,49068671,144480,53917,6882172,10695860,1619204,57735,852363,2600640
422,144480,37164.8,126360390,9981448,34678002,4206941,49024512,144480,53894,6907494,10672310,1654231,57750,852442,2600640
423,144480,32780.4,111453394,9891008,32829153,2970035,39648831,144480,53349,6858789,9969982,1530191,57713,852361,2600640
424,144480,32883.4,111803390,9912802,32931869,2987560,39667581,144480,53689,6825002,10019777,1542175,57729,852627,2600640
425,144480,32689.5,111143620,9876762,32761751,2946224,39535227,144480,53627,6745372,9917366,1531610,57736,853131,2600640
426,144480,32838.4,111650118,10059070,32924216,2989250,39585723,144480,53862,6764578,9999943,1547441,57780,853302,2600640
427,144480,32694.3,111160824,9863672,32747100,2933850,39578375,144480,53492,6884386,9878288,1533002,57802,853467,2600640
428,144480,37435.4,127279972,10003480,34921785,4252995,49486326,144480,53613,6928680,10813159,1661243,57807,853652,2600640
429,144480,32908.2,111887642,10160730,32802962,2961428,39723394,144480,53429,6779429,9972467,1572492,57772,853807,2600640
430,144480,32802.4,111528500,9858912,32974271,2965244,39715558,144480,53753,6803724,10053510,1543422,57779,853793,2600640
431,144480,36997.3,125790242,10074064,34462633,4039457,48860917,144480,53588,6938435,10618949,1636654,57786,853767,2600640
432,144480,32808.9,111549954,9918582,32875953,2956110,39551782,144480,53755,6779269,10016560,1552946,57836,854267,2600640
433,144480,36335.4,123540088,10204216,34056200,3896380,47517071,144480,53632,6954321,10407721,1612742,57800,854060,2600640
434,144480,32795.2,111503476,9914264,32725009,2988338,39705273,144480,53638,6741003,9960026,1543538,57823,854433,2600640
435,144480,37079.8,126071155,10007016,34707503,3998149,48783787,144480,53739,6900870,10732194,1667350,57841,854720,2600640
436,144480,35476.2,120618842,10648392,35521195,3328194,42902997,144480,53514,7129817,11185141,1630162,57893,855409,2600640
437,144480,32787.0,111475358,9933100,32759016,2947176,39600003,144480,53360,6769808,9902941,1542906,57897,855735,2600640
438,144480,33127.5,112632990,10008580,33211942,3014666,40064934,144480,53665,6941014,10136130,1547265,57914,856228,2600640
439,144480,37306.1,126840670,10044722,34731509,4117159,49431202,144480,53611,6961039,10652139,1646573,57894,855726,2600640
440,144480,34119.0,116004090,10402232,34078072,3135052,41126940,144480,53686,6900555,10612336,1599578,57911,855997,2600640
441,144480,33073.0,112447622,10040948,33320924,2962424,39772495,144480,53878,6909171,10281096,1554173,57920,856356,2600640
442,144480,35852.0,121896018,10017760,33869888,3854000,46450851,144480,53918,6773345,10379313,1611743,57917,856197,2600640
443,144480,32517.1,110558208,9792816,32602048,2941072,39219182,144480,53964,6721229,9916462,1530968,57889,855800,2600640
444,144480,32732.1,111289310,9879822,32832769,2959714,39504702,144480,53548,6719976,10105678,1546358,57904,856200,2600640
445,144480,32760.5,111385768,9852146,32943521,2984017,39572262,144480,53422,6875305,10001322,1526230,57910,856181,2600640
446,144480,36402.8,123769384,9880264,34257636,3935295,47965346,144480,53584,6902212,10429268,1633941,57917,856158,2600640
447,144480,32779.6,111450164,10008784,32795168,2942953,39507921,144480,53695,6758241,9950164,1539741,57936,856905,2600640
448,144480,32867.3,111747868,10004772,32926227,2941105,39766528,144480,53692,6777658,10064584,1557927,57973,856854,2600640
449,144480,32885.8,111811346,9936500,32859440,2954108,39847004,144480,53682,6766835,9991628,1551291,57986,856952,2600640
450,144480,36477.6,124023432,9934290,34234233,4026924,47755500,144480,53783,6915148,10506818,1641945,58009,857395,2600640
451,144480,37383.5,127103568,10016978,35582227,4123282,48941986,144480,53700,7118028,11133540,1735576,57999,857289,2600640
452,144480,33036.3,112322740,9956696,33063336,2981072,39873306,144480,53856,6773218,10046983,1559754,57976,857007,2600640
453,144480,33496.2,113886434,10050808,33832446,3070311,40280519,144480,53610,7063420,10409304,1570731,57972,856769,2600640
454,144480,33247.2,113039970,10021058,33296056,3015037,40145816,144480,53522,6796862,10236915,1551333,57955,856424,2600640
455,144480,32797.0,111508754,9874518,32841121,2945852,39660667,144480,53605,6782275,9990009,1557915,57987,857148,2600640
456,144480,37391.1,127129453,10303583,34888489,4079332,49337455,144480,53650,7059120,10764593,1670423,58024,857528,2600640
457,144480,33198.3,112873676,10039588,33418571,3032168,39906017,144480,53618,6794464,10407932,1547018,58037,857802,2600640
