frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas
54,144480,31404.5,106772070,10139344,31222304,2836855,38526700,144480,53554,6249816,9714321,1508883,40276,569543,2600640
55,144480,32058.8,108996789,9524488,32510075,2842340,39238725,144480,53883,6442529,10010451,1809678,40447,571483,2600640
56,144480,32299.3,109814965,9506264,32653111,2821323,40430509,144480,53599,6695716,10368100,1666203,40708,575235,2600640
57,144480,31383.1,106702370,9219882,31568988,2813631,39079005,144480,53709,6173151,9793156,1891809,40884,578336,2600640
58,144480,31015.8,105451102,9225084,30863994,2813547,38445481,144480,53651,6136795,9407498,1514117,41080,581058,2600640
59,144480,31487.0,107054199,9376146,31500422,2806956,39349792,144480,53700,6292090,9813016,1602547,41161,583393,2600640
60,144480,30939.5,105193891,9188024,30878553,2805265,38394242,144480,53638,6163415,9365894,1500829,41376,586453,2600640
61,144480,31532.2,107207746,9492460,31907145,2823755,38750232,144480,53690,6535370,9579993,1569671,41531,588187,2600640
62,144480,32011.3,108835870,10040744,32370247,2966374,39245601,144480,53910,6523406,9615967,1598648,41646,590660,2600640
63,144480,32327.3,109909621,9680038,33145880,2828409,39340870,144480,53981,6449566,10855865,1638399,41816,593942,2600640
64,144480,32689.4,111141679,9326166,33249901,2835376,40310862,144480,53917,6481264,10383043,1763000,41989,596277,2600640
65,144480,32478.9,110426526,9673782,32685488,2831244,39566439,144480,54093,6649271,10185513,1798070,42175,597930,2600640
66,144480,31479.1,107025744,9426670,32001370,3056803,38330479,144480,53796,6501045,10043913,1610226,42221,598926,2600640
67,144480,31645.6,107592388,9540128,31820840,2861165,39033202,144480,53721,6484737,9762022,1661936,42452,602023,2600640
68,144480,32020.6,108866977,10043702,32023505,2822291,39202880,144480,53985,6491655,9958469,1527353,42530,603734,2600640
69,144480,31293.9,106399532,9319094,31665326,2813923,38335025,144480,53540,6479533,9587575,1557608,42704,606965,2600640
