frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento
106,144480,30343.0,103161774,9676964,28482664,2877976,43839985
107,144480,29394.0,99934432,9553663,27619072,2832887,42404280
108,144480,30016.0,102048926,9723522,28122048,2920042,43727994
109,144480,31588.7,107396517,10111345,30399422,3024655,45454777
110,144480,31368.4,106646086,9860653,29414006,2920348,45634588
111,144480,37248.4,126640732,12199884,38260981,4545666,52837203
112,144480,30349.5,103182917,9775710,28688492,2896520,43940180
113,144480,31030.1,105499156,9902073,29533120,3000573,44769390
114,144480,30437.4,103483723,9927185,28508357,2985003,44085986
115,144480,32124.4,109219591,10217599,30477328,3054985,46382460
116,144480,30048.5,102160548,9656737,28454493,2915858,43295628
117,144480,29942.4,101800671,9668903,27991895,2880563,43484995
118,144480,30488.3,103656458,9745333,28428428,2912824,44212094
119,144480,31964.5,108674032,10343456,30597753,3106524,45941569
120,144480,31022.2,105470616,9854315,29473369,2948456,44913978
121,144480,29793.8,101295049,9666320,28014688,2854631,42980572
122,144480,30573.3,103943634,9876246,28668346,2875951,44255829
123,144480,32088.7,109097364,10374694,31405030,3118500,46155691
124,144480,30244.5,102826111,9784484,28575879,2931126,43574795
125,144480,36736.9,124901608,11800794,37167527,3774034,52799923
126,144480,35803.1,121726692,11603920,35617268,3664624,51402476
127,144480,34915.9,118709714,11269837,34269174,3538581,50499326
128,144480,30870.9,104954577,9946462,29745223,3001423,44233414
129,144480,30335.5,103137601,9791429,28987732,2873732,43482276
130,144480,31221.8,106149492,9979081,30000760,2965345,44642993
131,144480,31775.8,108032484,10123135,30978068,3172574,45420491
132,144480,32351.2,109989796,10470467,31813395,3344232,46325102
133,144480,32726.7,111266530,10006018,31754085,2982205,47102705
134,144480,31415.3,106806902,10086124,30116019,2924261,44987856
135,144480,32343.3,109963136,10038505,31561539,2950457,46240375
136,144480,30423.0,103432569,9805863,28757852,2905678,43852643
137,144480,37678.2,128102276,12364975,38387515,3917208,53889475
138,144480,30266.1,102899317,9673390,28474542,2876091,43769639
139,144480,33746.2,114732623,10851940,33613115,3264341,47856746
140,144480,31044.6,105547186,9793395,30122277,2897576,44561195
141,144480,30801.4,104720053,10056103,29670565,3025256,44270603
142,144480,31368.6,106648889,10414093,30295302,3180446,45381792
143,144480,30471.6,103597928,9707278,28792493,2866809,44104231
144,144480,38901.0,132257984,12387908,40405724,3997409,55551731
145,144480,33726.6,114665608,10704825,32498715,3213524,48790524
146,144480,29918.5,101717818,9790717,28356862,2874932,43127280
147,144480,30301.5,103020998,9821917,28636293,2880239,43491104
148,144480,33572.6,114143300,10870934,32934791,3404301,48303915
149,144480,34400.8,116958770,11213933,34255736,3709642,49061235
150,144480,30968.3,105287880,9970439,29739049,2991836,44514462
151,144480,32016.3,108852017,10284561,31121459,3093959,45885628
152,144480,31384.4,106703046,10043591,30064595,3055221,45209483
153,144480,31103.6,105747276,9986489,29739431,2969996,44885681
154,144480,30563.6,103911238,9842426,29146161,2941447,43834224
155,144480,31354.1,106598603,10051826,30458890,3003843,44828116
156,144480,33977.2,115519006,10720089,33675374,3555373,48596138
157,144480,30390.6,103324976,9763601,28878029,2988875,43729444
158,144480,38607.7,131255738,12656161,40565576,3810863,54547108
159,144480,31770.9,108016738,10087228,30597910,3014845,45613549
160,144480,35688.3,121335524,11478295,36230757,3524867,50888948
161,144480,34289.8,116578894,11109026,34649978,3438794,48813708
162,144480,35243.9,119823821,11216386,35736064,3443575,50110119
163,144480,35047.5,119153989,11340347,36511953,3486097,49010312
164,144480,32757.4,111369714,10252137,32484025,2995671,46415965
165,144480,40937.7,139183487,13333989,44323197,4273409,57324127
166,144480,45594.4,155016472,15185382,50465828,4987234,64283194
167,144480,31522.2,107170698,9935693,30504981,2938032,45021871
168,144480,33758.0,114772578,10931803,33657528,3411825,48344558
169,144480,31436.2,106878044,9914942,30170250,2905583,45185279
170,144480,30978.6,105323530,9900034,29872204,2959993,44290861
171,144480,31479.1,107022356,9996493,30451039,2947164,45002902
172,144480,31246.1,106232419,9973852,30538303,2985242,44473736
173,144480,36217.8,123136811,11757225,37043772,3606043,51341116
174,144480,30962.1,105267587,9737868,29476516,2932599,44743654
175,144480,30579.4,103965349,9824914,29236449,2900869,43749168
176,144480,37544.4,127645449,12315660,39289081,3852615,53267050
177,144480,31573.2,107345238,10081358,30668776,3022357,45152364
178,144480,33175.9,112794520,10766711,32552107,3216785,47431853
179,144480,33690.8,114545113,11082268,33369232,3371442,48134449
180,144480,30289.2,102978861,9779599,29255042,2887311,43208299
181,144480,31510.0,107130022,10195922,30868920,3051218,44843562
182,144480,31840.3,108252022,10290205,30968030,3181199,45550169
183,144480,35726.1,121465653,11451112,36478848,3673115,50810100
184,144480,31343.3,106563561,10306698,30375184,3075964,44707351
185,144480,31086.0,105684579,9781002,29698611,2897111,44606724
186,144480,29993.1,101971690,9860515,28310398,2906799,42912883
187,144480,32157.2,109331160,10071334,30952514,3018122,46219173
188,144480,29610.9,100673014,9702436,28299344,2858941,42433607
189,144480,30635.2,104152828,9675050,28936046,2913808,44185526
190,144480,34616.1,117689912,11347500,34619883,3610933,49504427
191,144480,34760.3,118181599,10804236,35033947,3398352,49390728
192,144480,29933.7,101770122,9753774,28404259,2858507,43115195
193,144480,41168.6,139967330,13470862,43792625,4451174,58325484
194,144480,30794.9,104699022,9740489,28959671,2927365,44598092
195,144480,30494.4,103676402,9881333,29193551,2927890,43609882
196,144480,32673.4,111083747,10853357,31761057,3328551,46863627
197,144480,30341.9,103154235,9836195,29192284,2929085,43317875
198,144480,30963.9,105272519,9963634,29727905,3194230,44130241
199,144480,33616.8,114290694,10751823,33770314,3307561,47699967
200,144480,31271.4,106317116,9812590,29953174,2938908,44854226
201,144480,29958.2,101851963,9656210,28722953,2845006,42779891
202,144480,31248.7,106240954,9953486,30194294,2903987,44515094
203,144480,32788.6,111476872,10753912,32747448,3313104,46512195
204,144480,32188.6,109437328,10307581,31707192,3109655,45802272
205,144480,30724.5,104459288,9677369,28987292,2948988,44337711
206,144480,30958.0,105253018,10191126,30065129,3051063,44127348
207,144480,30754.4,104558756,9922883,29971568,2925502,43759179
208,144480,33268.6,113108545,10627426,33330453,3236454,47139696
209,144480,30658.3,104233207,10148236,29783968,2999071,43609324
210,144480,30946.9,105214322,9882360,29593459,2919123,44304121
211,144480,29247.4,99436094,9644399,27708133,2853714,41929126
212,144480,30558.1,103892998,9855194,29007107,2994099,43714564
213,144480,32288.0,109774576,10244089,31515750,3143295,45978203
214,144480,30697.9,104367416,9838170,29419915,2927795,43912441
215,144480,30747.8,104538062,9994418,29486654,2916542,43835265
216,144480,30178.7,102602034,9864810,28524242,2897531,43382727
217,144480,40385.8,137305908,12861633,43031005,4053432,57195385
218,144480,33521.8,113970042,10656127,33630045,3180921,47610040
219,144480,34489.8,117260339,10608820,34151266,3133657,48586450
220,144480,31787.0,108071193,10233939,31343166,3129144,45326482
221,144480,32110.5,109171995,10559560,31568832,3231984,45580876
222,144480,30842.3,104858954,9856514,29367401,2899050,44237022
223,144480,30405.2,103373190,9873086,28841458,2886041,43538076
224,144480,31156.4,105927540,9883694,29573612,2937890,44880018
225,144480,34264.3,116494132,11180612,34648517,3418856,48371539
226,144480,30704.1,104388409,9963105,29694897,2964297,43809362
