frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
49,144480,28598.2,97233370,9119650,24547564,2646486,36741381,144480,53623,4887797,5092274,1555073,39581,557650,2600640,34939,0
50,144480,29837.0,101443250,10181096,24966701,2643340,38425097,144480,53765,4793204,5174490,1568007,39723,560446,2600640,34800,0
51,144480,28905.7,98275674,9306888,24861922,2675414,37040177,144480,53931,4792262,5215750,1579394,39931,563932,2600640,34812,0
52,144480,29813.8,101364812,9503408,25495433,2768220,39079876,144480,53693,5024313,5189113,1564078,40102,566722,2600640,34751,0
53,144480,29533.6,100411044,9298796,25797600,2676208,37907511,144480,53603,5044813,5647092,1666957,40265,569721,2600640,34312,0
54,144480,28825.1,98003130,9112816,25014659,2655907,37070297,144480,53588,4844161,5384873,1709138,40474,572790,2600640,34148,0
55,144480,31149.9,105906903,9805804,27672708,2828699,39788572,144480,53840,5354419,6277843,1765697,40651,575652,2600640,34435,0
56,144480,28798.2,97913880,9156132,24545746,2632539,37231939,144480,53674,4789071,5187326,1577806,40962,580361,2600640,34108,0
57,144480,30910.5,105091872,9972472,27218267,2772017,40003963,144480,53338,5373534,6079818,1702875,41036,581678,2600640,33762,0
58,144480,30722.0,104451873,10231688,26957876,2656068,39344817,144480,53961,5125127,6347716,2038209,41100,583493,2600640,34027,0
59,144480,29449.3,100123693,9184964,25996703,2631778,37823529,144480,53894,5139261,5831326,1665881,41360,586975,2600640,33847,0
60,144480,30552.3,103872856,9386346,27375921,2693433,39202430,144480,53979,5468958,6315392,1722615,41565,590208,2600640,33736,0
61,144480,31812.1,108157842,9785132,29196752,2679582,41283532,144480,53679,5661425,6883583,1746931,41704,592714,2600640,33417,0
62,144480,31597.8,107427250,9524828,28955974,2730075,40373995,144480,53466,5945182,6759565,1814693,41873,594937,2600640,33155,0
63,144480,30047.3,102160922,9316170,26512169,2668450,38601337,144480,53739,5249853,6038581,1681404,41969,596657,2600640,33141,0
64,144480,33100.0,112536257,9866460,30161202,2844568,42842605,144480,53656,5978985,6965442,2392966,42137,599272,2600640,33020,0
