frame,moved,max_cheb,max_elem,gt1,gt2,gt4,gt8,gt16,gt32,gt64
112,27242,3.44,SAND,4631,262,0,0,0,0,0
113,27855,3.77,SAND,5004,255,0,0,0,0,0
114,26618,4.09,SAND,4360,220,1,0,0,0,0
115,27574,4.36,SAND,4521,243,1,0,0,0,0
116,28036,2.88,SAND,4857,235,0,0,0,0,0
117,27048,3.07,SAND,4667,235,0,0,0,0,0
118,26784,3.31,SAND,4343,248,0,0,0,0,0
119,27345,3.10,SAND,4288,210,0,0,0,0,0
120,27985,3.05,SAND,4894,248,0,0,0,0,0
121,27241,3.26,SAND,4755,268,0,0,0,0,0
122,26926,2.99,SAND,4486,242,0,0,0,0,0
123,26856,3.18,SAND,4181,278,0,0,0,0,0
124,27452,3.50,SAND,4509,218,0,0,0,0,0
125,27348,2.91,SAND,4943,243,0,0,0,0,0
126,26198,3.25,SAND,4220,202,0,0,0,0,0
127,27891,3.57,SAND,4414,176,0,0,0,0,0
128,28433,2.87,SAND,5008,237,0,0,0,0,0
129,28011,2.94,SAND,4185,171,0,0,0,0,0
130,27526,3.04,SAND,4736,253,0,0,0,0,0
131,26867,19.01,WATR,4552,285,1,1,1,0,0
132,28867,18.97,WATR,4200,310,3,2,1,0,0
133,27144,30.00,WATR,4523,426,59,34,22,0,0
134,27938,29.00,WATR,4096,404,76,45,25,0,0
135,28133,29.00,WATR,4345,337,63,28,19,0,0
136,28169,29.00,WATR,5026,666,231,82,32,0,0
137,29879,29.00,WATR,4527,401,124,62,18,0,0
138,29729,29.00,WATR,5290,1215,506,157,59,0,0
139,29062,29.00,WATR,5577,1257,645,372,220,0,0
140,29878,30.03,WATR,5641,1440,662,290,89,0,0
141,30266,29.12,WATR,6254,1967,1102,511,194,0,0
142,29714,30.00,WATR,5337,1277,627,336,134,0,0
143,30284,30.00,WATR,5711,1489,867,424,138,0,0
144,30679,30.00,WATR,5902,1810,1139,592,209,0,0
145,30594,30.00,WATR,6805,2571,1517,694,226,0,0
146,30652,30.00,WATR,5627,1743,1026,594,238,0,0
147,31420,30.00,WATR,6085,2150,1302,666,199,0,0
148,31637,30.00,WATR,6720,2574,1508,754,201,0,0
149,31678,30.01,WATR,6590,2523,1487,761,270,0,0
150,32139,30.02,WATR,6401,2360,1392,685,183,0,0
151,32471,30.00,WATR,6234,2330,1260,512,112,0,0
152,32339,30.00,WATR,6382,2448,1281,526,114,0,0
153,32651,30.01,WATR,6084,2314,1134,459,115,0,0
154,32670,29.00,WATR,5757,2144,1091,430,80,0,0
155,32537,30.00,WATR,6225,2412,1239,529,159,0,0
156,32825,30.01,WATR,5946,2360,1225,535,162,0,0
157,32269,30.01,WATR,7275,3606,1676,629,148,0,0
158,32832,30.00,WATR,6357,2786,1413,558,136,0,0
159,32933,30.99,WATR,6263,2760,1412,577,134,0,0
160,32935,30.00,WATR,5760,2436,1310,596,141,0,0
161,32719,30.01,WATR,7662,4127,2007,721,151,0,0
162,32992,30.20,WATR,6147,2930,1508,636,176,0,0
163,32999,30.00,WATR,6335,2990,1557,616,158,0,0
164,32882,30.01,WATR,6016,2945,1433,601,170,0,0
165,33143,30.00,WATR,7049,3651,1786,648,144,0,0
166,33116,30.00,WATR,6012,2852,1526,645,163,0,0
167,32872,30.00,WATR,6591,3304,1560,623,182,0,0
168,32827,30.01,WATR,6656,3466,1657,651,147,0,0
169,33098,30.01,WATR,6685,3595,1821,733,205,0,0
170,33116,30.02,WATR,6284,3250,1629,667,180,0,0
171,33162,30.02,WATR,6007,3092,1639,711,204,0,0
172,32894,30.04,WATR,6758,3801,1788,695,195,0,0
173,33000,30.01,WATR,6670,3735,1828,706,199,0,0
174,33120,30.00,WATR,5969,3240,1650,700,176,0,0
175,33137,30.06,WATR,5867,3207,1743,803,261,0,0
176,32727,30.02,WATR,6632,3858,1843,796,251,0,0
177,33024,30.07,WATR,6733,3951,2002,831,254,0,0
178,33133,30.02,WATR,6208,3519,1822,828,267,0,0
179,33164,30.03,WATR,6042,3436,1841,830,270,0,0
180,32804,30.03,WATR,6744,4165,2032,943,300,0,0
