frame,Frame time,GameController::Update,GameModel::UpdateUpTo,GameModel::BeforeSim,Air::update_air,Simulation::DispatchNewtonianGravity,Simulation::RecalcFreeParticles,Simulation::UpdateParticles,GameModel::AfterSim
192,18317.99,8360.28,8357.54,1221.53,592.99,0.04,559.84,7133.48,1.39
193,18657.80,8286.63,8283.46,1238.02,605.17,0.04,565.07,7042.96,1.35
194,18601.76,8328.06,8324.92,1285.87,617.57,0.04,600.31,7036.57,1.35
195,18326.82,8249.09,8245.94,1265.17,610.71,0.04,588.00,6978.27,1.38
196,18257.81,8248.70,8245.59,1253.30,606.21,0.04,582.17,6989.76,1.38
197,18065.51,8214.49,8211.39,1240.31,599.62,0.05,577.24,6968.54,1.40
198,18051.76,8268.86,8265.78,1237.41,604.47,0.04,569.69,7025.84,1.39
199,17916.75,8315.22,8312.16,1234.33,609.90,0.04,561.82,7075.30,1.39
200,17771.58,8310.00,8306.96,1220.64,603.81,0.04,555.34,7083.78,1.40
201,17588.66,8233.06,8230.05,1208.75,597.41,0.04,550.92,7018.79,1.38
202,17744.83,8421.75,8418.70,1263.42,610.24,0.04,592.09,7152.72,1.41
203,18259.10,8454.20,8451.19,1262.87,610.92,0.04,591.79,7185.83,1.37
204,18166.18,8503.65,8500.55,1271.88,613.92,0.05,598.77,7226.18,1.36
205,18103.50,8621.56,8618.41,1303.06,616.39,0.06,618.31,10.12,7312.85,1.35
206,18660.15,8647.97,8644.77,1328.26,633.47,0.06,627.64,7314.02,1.35
207,18510.74,8680.63,8677.44,1354.25,643.04,0.06,644.83,7320.71,1.33
208,18335.02,8690.86,8687.74,1380.49,639.93,0.06,673.26,7304.76,1.33
209,18103.85,8610.61,8607.51,1355.44,631.43,0.06,658.21,7249.61,1.33
210,18020.41,8582.72,8579.63,1337.47,622.53,0.05,650.48,7239.72,1.32
211,17961.80,8625.30,8622.22,1348.98,630.22,0.05,654.27,7270.78,1.34
212,17808.00,8611.12,8608.08,1343.09,627.37,0.05,652.56,7262.46,1.38
213,17699.92,8607.20,8604.18,1341.19,627.95,0.06,650.80,7260.49,1.37
214,17559.61,8573.95,8570.88,1329.73,623.68,0.05,644.86,7238.57,1.43
215,17500.75,8587.16,8584.02,1334.35,626.42,0.05,647.83,7247.05,1.48
216,17383.90,8587.48,8584.37,1333.79,622.94,0.05,651.81,7247.96,1.48
217,18100.88,8624.63,8621.56,1336.87,631.19,0.05,646.05,7282.06,1.47
218,17930.75,8614.42,8611.38,1346.80,638.34,0.04,649.80,7261.97,1.46
219,17728.22,8531.04,8528.05,1338.58,637.84,0.05,643.15,7186.87,1.45
220,17597.52,8430.62,8427.53,1327.61,632.46,0.05,638.41,7097.36,1.43
221,17607.63,8450.61,8447.41,1352.11,640.63,0.05,654.70,7092.75,1.42
222,17623.16,8591.77,8588.63,1400.48,632.74,0.05,710.62,7185.61,1.41
223,18325.27,8760.04,8756.91,1407.27,642.04,0.05,703.38,5.50,7347.10,1.41
224,18782.34,8744.33,8741.23,1401.15,637.29,0.04,701.81,7337.56,1.40
225,18697.24,8812.85,8809.74,1401.00,635.56,0.04,704.35,7406.20,1.41
226,19136.13,8723.94,8720.83,1390.28,632.29,0.04,696.76,7327.99,1.41
227,19001.48,8684.74,8681.63,1411.47,632.06,0.04,718.60,7267.64,1.38
228,18987.98,8810.01,8806.96,1398.33,633.74,0.04,704.68,7406.12,1.38
229,19435.09,8775.15,8772.09,1422.10,631.77,0.04,731.34,7347.51,1.36
230,19248.02,8745.58,8742.40,1436.72,651.22,0.04,727.24,7303.21,1.35
231,19067.87,8722.86,8719.70,1452.13,656.89,0.04,729.45,7.41,7265.11,1.35
232,18941.64,8759.03,8755.88,1498.20,664.36,0.04,768.29,7255.20,1.35
233,18716.57,8742.58,8739.48,1475.89,654.71,0.05,751.63,5.37,7261.09,1.35
234,18631.09,8807.56,8804.50,1467.04,658.49,0.04,739.24,7334.94,1.35
235,18334.07,8725.77,8722.68,1462.86,668.64,0.05,725.99,7257.30,1.35
236,18225.91,8682.79,8679.66,1462.66,667.78,0.04,727.67,7214.45,1.38
237,18056.27,8610.94,8607.75,1440.41,660.86,0.05,713.67,7164.76,1.41
238,18000.15,8617.83,8614.59,1419.81,653.49,0.05,700.10,7192.11,1.46
239,17808.78,8559.98,8556.77,1416.55,658.92,0.05,692.20,7137.59,1.45
240,17962.93,8752.89,8749.68,1425.37,654.57,0.04,705.38,7321.66,1.45
241,18583.24,8903.65,8900.42,1448.52,659.93,0.04,724.38,7449.22,1.48
242,19037.01,8851.44,8848.14,1457.49,656.16,0.05,738.20,7387.96,1.49
243,18809.82,8754.94,8751.65,1443.25,647.22,0.04,734.12,7305.68,1.49
244,18843.08,8863.55,8860.22,1467.40,652.09,0.05,753.04,7390.09,1.49
245,19347.93,8863.97,8860.68,1466.87,647.14,0.05,757.55,7391.01,1.49
246,19200.22,8919.98,8916.75,1491.53,660.04,0.05,769.36,7422.45,1.47
247,18933.88,8893.46,8890.16,1474.57,653.91,0.05,759.80,7412.63,1.61
248,18773.03,8881.62,8878.34,1475.58,650.79,0.06,765.08,7399.81,1.62
249,18692.24,8928.33,8925.01,1481.81,657.83,0.06,763.46,7440.13,1.74
250,18486.34,8930.08,8926.81,1469.05,652.19,0.06,757.04,7454.74,1.70
251,18270.52,8839.51,8836.23,1450.37,647.29,0.06,744.38,7382.85,1.70
252,18211.65,8839.68,8836.42,1467.43,664.83,0.06,744.67,7365.99,1.69
253,18214.09,8983.26,8980.03,1460.05,665.03,0.06,737.18,7517.00,1.68
254,18843.42,9106.85,9103.56,1492.13,669.79,0.06,765.10,7608.32,1.77
255,19378.33,9154.68,9151.34,1513.53,669.67,0.06,785.97,7634.72,1.75
256,19130.44,9146.75,9143.38,1509.99,671.63,0.06,781.13,7630.32,1.73
257,18910.77,9108.51,9105.08,1530.54,677.51,0.06,796.14,7571.50,1.72
258,18881.46,9216.43,9213.03,1584.72,675.45,0.07,852.44,7625.30,1.71
259,19277.26,9110.33,9106.95,1554.86,668.01,0.06,830.96,7549.02,1.74
260,19074.77,8996.13,8992.72,1532.96,666.19,0.06,811.46,7456.70,1.75
261,18998.73,8991.77,8988.37,1533.76,673.38,0.06,805.63,7451.61,1.72
262,18769.36,8934.30,8930.79,1518.58,665.87,0.05,798.54,7409.11,1.78
263,18746.13,9022.85,9019.31,1526.83,666.15,0.06,807.27,7489.27,1.89
264,19183.96,8910.08,8906.57,1512.43,663.29,0.06,795.21,7390.97,1.85
265,19166.42,8963.89,8960.37,1495.78,653.50,0.06,789.14,7461.47,1.82
266,19654.25,8914.11,8910.62,1474.15,649.01,0.06,772.77,7433.40,1.79
267,19468.36,8887.42,8883.95,1498.85,650.79,0.07,796.08,7382.07,1.76
268,19273.05,8865.29,8861.83,1524.29,647.14,0.08,816.65,8.06,7334.53,1.73
269,19203.70,8960.67,8957.16,1547.88,651.11,0.07,835.02,7406.28,1.72
270,19754.19,9017.57,9014.13,1545.68,656.60,0.07,828.33,7465.46,1.71
271,20203.78,8958.42,8954.98,1541.80,654.74,0.07,827.30,7410.21,1.72
272,20059.92,8986.75,8983.28,1542.24,656.26,0.06,827.27,7438.00,1.76
273,20641.35,9054.35,9050.90,1547.65,660.11,0.06,828.77,7500.27,1.73
274,21115.73,9076.58,9073.19,1565.72,664.32,0.07,841.76,7504.54,1.70
275,20786.25,9045.43,9042.06,1579.18,676.24,0.07,837.31,7459.85,1.68
