frame,Frame time,GameController::Update,GameModel::UpdateUpTo,GameModel::BeforeSim,Air::update_air,Simulation::DispatchNewtonianGravity,Simulation::RecalcFreeParticles,Simulation::UpdateParticles,GameModel::AfterSim
121,42776.06,28919.61,28917.21,2111.48,654.92,0.06,1390.15,26803.19,1.41
122,42809.94,28686.03,28683.58,2110.01,654.53,0.06,1390.40,26570.96,1.46
123,42830.47,29063.26,29060.84,2112.50,656.04,0.07,1385.12,7.61,26945.71,1.46
124,42733.82,29129.37,29126.95,2104.90,654.47,0.06,1380.82,27019.42,1.47
125,42643.09,28917.92,28915.49,2108.68,656.99,0.06,1377.84,5.72,26804.13,1.45
126,42917.99,28814.07,28811.64,2086.10,649.08,0.06,1364.96,26722.84,1.46
127,43390.97,28986.57,28984.16,2073.84,649.59,0.06,1353.90,26907.65,1.45
128,43268.59,28871.04,28868.64,2081.23,652.72,0.06,1358.56,26784.72,1.46
129,43349.33,28674.23,28671.84,2102.60,662.28,0.07,1371.66,26566.55,1.45
130,44068.54,29027.02,29024.53,2126.25,666.08,0.06,1391.87,26895.56,1.46
131,44246.20,29411.39,29408.88,2158.51,669.31,0.07,1421.04,27247.62,1.48
132,44206.11,29626.50,29624.00,2140.03,668.69,0.07,1404.52,27481.24,1.48
133,43889.38,29394.51,29392.02,2115.09,664.43,0.07,1385.33,27274.22,1.50
134,44075.01,29225.97,29223.47,2107.22,664.65,0.07,1378.19,27113.53,1.50
135,44054.56,28938.94,28936.41,2121.33,667.57,0.07,1390.56,26812.35,1.48
136,43817.14,29084.12,29081.56,2164.77,658.91,0.07,1442.33,26914.05,1.48
137,43946.16,29191.36,29188.80,2192.02,668.00,0.07,1461.02,26994.01,1.48
138,44213.15,29431.15,29428.58,2192.32,670.66,0.08,1458.75,27233.50,1.48
139,44122.63,29452.03,29449.46,2205.00,664.28,0.08,1478.88,27241.68,1.50
140,44353.12,29586.46,29583.79,2225.56,662.91,0.08,1493.89,7.87,27355.25,1.61
141,44396.54,29653.72,29651.06,2272.94,660.78,0.07,1544.64,27375.16,1.60
142,44357.81,29573.20,29570.51,2289.52,667.32,0.07,1554.61,27277.95,1.59
143,44796.46,29829.82,29827.17,2275.43,672.74,0.08,1536.19,27548.76,1.56
144,44470.49,29651.93,29649.29,2250.38,669.97,0.08,1515.35,27395.98,1.54
145,44710.79,29622.32,29619.60,2282.79,668.76,0.07,1549.89,27333.89,1.53
146,45180.12,29954.43,29951.72,2318.22,664.72,0.07,1589.47,27630.54,1.56
147,44610.95,29645.11,29642.43,2284.24,661.20,0.07,1560.05,27355.31,1.52
148,44494.14,29914.34,29911.73,2260.23,653.73,0.07,1544.56,27648.65,1.51
149,44550.91,30139.09,30136.52,2256.66,656.34,0.08,1538.58,27877.05,1.49
150,44156.38,29832.29,29829.75,2270.88,679.65,0.09,1530.33,27556.10,1.47
151,43479.13,29520.07,29517.53,2265.33,684.55,0.09,1520.89,27249.50,1.44
152,42831.87,29203.51,29201.01,2245.89,680.06,0.09,1506.89,26952.49,1.40
153,42261.64,28923.95,28921.50,2210.48,675.40,0.09,1477.17,26708.46,1.37
154,42030.82,28990.00,28987.58,2180.45,669.84,0.09,1453.78,26804.60,1.36
155,41923.69,28717.43,28715.01,2181.20,676.59,0.08,1448.81,26531.34,1.33
